Invisibility Purge	Purga de invisibilidad	Te rodea una esfera de poder de 5 pies por nivel de radio que anula toda invisibilidad. Todo lo invisible se vuelve visible dentro del área.
Invisibility Sphere	Esfera de invisibilidad	Funciona como invisibilidad, salvo que concede invisibilidad a todas las criaturas dentro de 10 pies del receptor cuando se lanza el conjuro. El centro del efecto se mueve con el receptor. Los afectados se ven entre sí y se ven a sí mismos con normalidad. Toda criatura afectada que salga del área se vuelve visible; las que entren después no se vuelven invisibles. Las criaturas afectadas, salvo el receptor, solo anulan su propia invisibilidad si atacan. Si el receptor ataca, la esfera termina.
Iron Body	Cuerpo de hierro	Transforma tu cuerpo en hierro viviente y te concede varias resistencias y capacidades poderosas. Obtienes reducción de daño 15/adamantine; eres inmune a ceguera, golpes críticos, daño a características, sordera, enfermedad, ahogamiento, electricidad, veneno, aturdimiento y a los conjuros o ataques que afecten tu fisiología o respiración, porque no tienes fisiología ni respiración mientras el conjuro dura. Sufres solo la mitad del daño de ácido y fuego. También te vuelves vulnerable a los ataques especiales que afectan a los gólems de hierro. Obtienes una bonificación de mejora de +6 a Fuerza, pero sufres una penalización de -6 a Destreza.
Ironwood	Madera de hierro	La madera de hierro es una sustancia mágica creada por druidas a partir de madera normal. Aunque sigue siendo madera natural en casi todos los aspectos, es tan fuerte, pesada y resistente al fuego como el acero. Los conjuros que afectan al metal o al hierro no funcionan sobre ella; los conjuros que afectan a la madera sí, aunque la madera de hierro no arde. Usado junto con wood shape o con una prueba de Artesanía relacionada con la madera, permite fabricar objetos de madera que funcionan como objetos de acero. Así, pueden crearse armaduras de placas y espadas de madera tan duraderas como sus equivalentes de acero. Estos objetos pueden usarlos libremente los druidas. Además, si fabricas solo la mitad de la cantidad de madera de hierro que permitiría el conjuro, cualquier arma, escudo o armadura hecha con ella gana las propiedades del acero sin dejar de ser de madera.
Irresistible Dance	Danza irresistible	El objetivo siente un impulso irrefrenable de bailar y comienza a hacerlo, moviendo los pies y dando brincos sin poder hacer otra cosa. El efecto le impide actuar salvo para retozar y saltar en el sitio. Sufre una penalización de -4 a la CA y de -10 a las tiradas de Reflejos, y anula cualquier bonificación a la CA otorgada por el escudo que lleve. El sujeto que baila provoca ataques de oportunidad en cada asalto durante su turno. Una salvación de Voluntad con éxito reduce la duración del efecto a 1 asalto.
Jump	Salto	El objetivo obtiene una bonificación de mejora de +10 a las pruebas de Acrobacias para saltos de altura o de longitud. La bonificación aumenta a +20 en el nivel de lanzador 5 y a +30, el máximo, en el nivel de lanzador 9.
Keen Edge	Filo agudo	Este conjuro vuelve mágicamente aguda una arma y mejora su capacidad para asestar golpes decisivos. Esta transmutación duplica el margen de amenaza del arma: un 20 pasa a 19-20, un 19-20 pasa a 17-20 y un 18-20 pasa a 15-20. Solo puede lanzarse sobre armas perforantes o cortantes. Si se lanza sobre flechas o virotes de ballesta, el efecto termina tras un uso, impacte o no el proyectil. Los shuriken se tratan como flechas a efectos de este conjuro. Los efectos que aumentan el margen de amenaza no se acumulan entre sí.
Knock	Abrir	Abre puertas atascadas, cerradas con tranca o con llave, así como las afectadas por hold portal o arcane lock. Al completar el lanzamiento, realiza una prueba de nivel de lanzador contra la CD de la cerradura con un bonificador de +10. Si tiene éxito, knock abre hasta dos medios de cierre. El conjuro también abre puertas secretas y cajas o cofres cerrados con llave o de apertura por trampa, y afloja soldaduras, grilletes o cadenas, siempre que sirvan para mantener algo cerrado. Si se usa sobre una puerta con arcane lock, no elimina el efecto sino que suspende su funcionamiento durante 10 minutos.
Know Direction	Conocer dirección	Al lanzar este conjuro, sabes de inmediato dónde está el norte desde tu posición actual. Funciona en cualquier entorno donde exista un norte, aunque puede no funcionar en contextos extraplanares. Tu conocimiento del norte es correcto en el momento del lanzamiento, pero puedes volver a desorientarte en pocos instantes si no encuentras un punto de referencia externo.
Legend Lore	Saber legendario	Saber legendario trae a tu mente leyendas sobre una persona, lugar o cosa importante. Si la persona o el objeto está delante de ti, o si te encuentras en el lugar en cuestión, el tiempo de lanzamiento es solo 1d4 x 10 minutos. Si solo dispones de información detallada sobre la persona, lugar o cosa, el tiempo de lanzamiento es de 1d10 días y el saber obtenido es menos completo y específico, aunque a menudo basta para ayudarte a encontrar lo que buscas. Si solo conoces rumores, el tiempo de lanzamiento es de 2d6 semanas y el saber resultante es vago e incompleto, aunque a menudo te dirige hacia información más detallada.
Levitate	Levitar	Levitar te permite mover arriba y abajo a ti mismo, a otra criatura o a un objeto a voluntad. Una criatura debe aceptar ser levitada y un objeto debe estar desatendido o en posesión de una criatura voluntaria. Puedes dirigir mentalmente al objetivo para que suba o baje hasta 20 pies por asalto; hacerlo es una acción de movimiento. No puedes mover al objetivo horizontalmente, pero éste podría avanzar por la pared de un acantilado o empujarse contra un techo para desplazarse lateralmente, normalmente a la mitad de su velocidad base en tierra. Una criatura levitante que ataque con arma cuerpo a cuerpo o a distancia se vuelve inestable: el primer ataque sufre una penalización de -1, el segundo de -2, y así sucesivamente.
Light	Luz	Este conjuro hace que un objeto tocado brille como una antorcha, proyectando luz normal en un radio de 20 pies desde el punto tocado y aumentando el nivel de luz otros 20 pies en un paso, hasta luz normal. En un área de luz normal o brillante no tiene efecto. El efecto es inmóvil, pero puede lanzarse sobre un objeto móvil. Solo puedes tener un conjuro de light activo a la vez; si lanzas otro mientras el primero sigue en vigor, el anterior se disipa. Si haces el conjuro permanente, no cuenta para ese límite.
Lightning Bolt	Rayo eléctrico	Libera una poderosa descarga de energía eléctrica que inflige 1d6 puntos de daño por electricidad por nivel de lanzador, hasta un máximo de 10d6, a cada criatura dentro de su área. El rayo comienza en tus dedos. Lightning bolt prende fuego a los materiales combustibles y daña los objetos a su paso. También puede fundir metales de bajo punto de fusión, como plomo, oro, cobre, plata o bronce. Si el daño causado a una barrera interpuesta la rompe o la atraviesa, el rayo puede continuar más allá si el alcance del conjuro lo permite; de lo contrario, se detiene en la barrera.
Limited Wish	Deseo limitado	Deseo limitado te permite crear casi cualquier tipo de efecto. Por ejemplo, puede duplicar cualquier conjuro de hechicero/mago de 6.º nivel o inferior, siempre que no pertenezca a una de tus escuelas opuestas; duplicar cualquier conjuro de otra lista de 5.º nivel o inferior, incluso si pertenece a una escuela opuesta; deshacer efectos perjudiciales de muchos conjuros, como geas/quest o insanity; y producir otros efectos similares bajo la supervisión del DJ.
Liveoak	Roble viviente	Este conjuro convierte un roble en un protector o guardián. Solo puede lanzarse sobre un árbol a la vez; mientras liveoak esté activo, no puedes lanzarlo sobre otro árbol. Debe lanzarse sobre un roble sano y Enorme. Sobre el roble objetivo se coloca una frase activadora de hasta una palabra por nivel de lanzador. El conjuro hace que el árbol cobre vida como un treant. Si liveoak se disipa, el árbol echa raíces de inmediato donde se encuentre. Si lo liberas tú, el árbol intenta volver a su ubicación original antes de echar raíces.
Locate Object	Localizar objeto	Percibes la dirección de un objeto bien conocido o claramente visualizado. Puedes buscar objetos generales, en cuyo caso localizas el más cercano de su clase si hay más de uno dentro del alcance. Para encontrar un objeto concreto necesitas una imagen mental específica y precisa; si la imagen no se parece bastante al objeto real, el conjuro falla. No puedes especificar un objeto único salvo que lo hayas observado en persona. Incluso una fina lámina de plomo bloquea el conjuro. No puede localizar criaturas. Polymorph any object y nondetection lo engañan.
Locate Creature	Localizar criatura	Este conjuro funciona como locate object, salvo que localiza a una criatura conocida. Te giras lentamente y percibes cuándo estás mirando en la dirección de la criatura que buscas, siempre que esté dentro del alcance. También sabes en qué dirección se mueve, si es que lo hace. El conjuro puede localizar una criatura de un tipo concreto o una criatura concreta conocida por ti. Para localizar un tipo de criatura, debes haber visto una de ese tipo de cerca, a menos de 30 pies, al menos una vez. El agua corriente bloquea el conjuro. No detecta objetos. Puede ser engañado por mislead, nondetection y polymorph.
Longstrider	Zancada larga	Este conjuro te concede una bonificación de mejora de +10 pies a tu velocidad base. No afecta a otros modos de movimiento, como excavar, trepar, volar o nadar.
Lullaby	Nana	Cualquier criatura dentro del área que falle una salvación de Voluntad se vuelve adormilada e inatenta, sufriendo una penalización de -5 a las pruebas de Percepción y una penalización de -2 a las salvaciones de Voluntad contra efectos de sueño mientras el conjuro siga activo. Lullaby dura mientras el lanzador se concentre, más hasta 1 asalto por nivel de lanzador después.
Mage Armor	Armadura de mago	Un campo de fuerza invisible pero tangible rodea al objetivo de mage armor y le proporciona una bonificación de armadura de +4 a la CA. A diferencia de una armadura mundana, no impone penalización por prueba de armadura, ni probabilidad de fallo de conjuros arcanos, ni reducción de velocidad. Como mage armor está hecho de fuerza, las criaturas incorpóreas no pueden atravesarlo como hacen con la armadura normal.
Mage Hand	Mano de mago	Apuntas con el dedo a un objeto y puedes levantarlo y moverlo a voluntad a distancia. Como acción de movimiento, puedes propulsar el objeto hasta 15 pies en cualquier dirección, aunque el conjuro termina si la distancia entre tú y el objeto supera su alcance.
Mage's Disjunction	Disyunción del mago	Todos los efectos mágicos y objetos mágicos dentro del radio del conjuro, salvo los que lleves o toques, quedan disociados. Los conjuros y efectos similares a conjuros se deshacen y destruyen por completo, como si los disipara un dispel magic, y cada objeto mágico permanente debe superar una salvación de Voluntad o convertirse en un objeto normal durante la duración de este conjuro. Un objeto en posesión de una criatura usa su bonificador de Voluntad o el de su poseedor, el que sea mayor. Si el resultado de la salvación de un objeto es un 1 natural, el objeto se destruye en lugar de quedar suprimido. Además, tienes un 1% por nivel de lanzador de destruir un campo antimagia.
Mage's Faithful Hound	Sabueso fiel del mago	Conjuras un sabueso fantasma invisible para todos salvo para ti. Guarda el área donde fue convocado y no se mueve. El sabueso empieza a ladrar con fuerza si cualquier criatura Pequeña o mayor se acerca a menos de 30 pies. Ve criaturas invisibles y etéreas. No reacciona a fingimientos, pero sí a ilusiones de sombra. Si un intruso se acerca a menos de 5 pies, el perro deja de ladrar y muerde una vez por asalto con un ataque de +10 y 2d6+3 puntos de daño perforante.
Mage's Lucubration	Lucubración del mago	Recuperas de inmediato cualquier conjuro de 5.º nivel o inferior que hayas usado durante las últimas 24 horas, siempre que realmente lo hubieras lanzado en ese período. El conjuro elegido queda almacenado en tu mente como si estuviera preparado normalmente. Si el conjuro recuperado requiere componentes materiales, debes proporcionarlos. El conjuro no puede usarse hasta que dispongas de esos componentes.
Mage's Magnificent Mansion	Mansión magnífica del mago	Conjuras una vivienda extraplanar con una única entrada en el plano desde el que se lanzó el conjuro. El punto de entrada parece un leve temblor en el aire de 4 pies de ancho por 8 de alto. Solo quienes designes pueden entrar en la mansión, y el portal se cierra y se vuelve invisible detrás de ti al entrar; puedes abrirlo de nuevo desde dentro a voluntad. Una vez dentro, los visitantes encuentran un vestíbulo magnífico con numerosas estancias más allá. El ambiente es limpio, fresco y cálido. Puedes diseñar la distribución interior hasta el límite del efecto y el lugar está amueblado y provisto de comida suficiente para un banquete de nueve platos.
Mage's Private Sanctum	Santuario privado del mago	Este conjuro garantiza la privacidad. Quien mire desde fuera solo ve una masa oscura y brumosa. La visión en la oscuridad no puede atravesarlo. Ningún sonido, por muy alto que sea, puede salir del área, así que nadie puede espiar desde fuera. Quienes están dentro pueden ver hacia fuera con normalidad. Los conjuros de adivinación (escrutinio) no pueden percibir nada dentro del área, y quienes se encuentren dentro son inmunes a detect thoughts. El santuario impide hablar entre los de dentro y los de fuera porque bloquea el sonido, pero no impide otras formas de comunicación, como sending, message o la comunicación telepática. Tampoco impide que criaturas u objetos entren o salgan.
Mage's Sword	Espada del mago	Este conjuro crea un plano de fuerza brillante con forma de espada. La espada ataca a cualquier oponente dentro de su alcance, como desees, desde el mismo asalto en que la lanzas. Ataca al objetivo designado una vez por asalto en tu turno. Su bonificación de ataque es tu nivel de lanzador + tu bonificación de Inteligencia o de Carisma, según seas mago o hechicero, más un bonificador de mejora de +3. Como efecto de fuerza, puede golpear criaturas etéreas e incorpóreas. Inflige 4d6+3 puntos de daño de fuerza, con un margen de amenaza de 19-20 y un multiplicador crítico x2. La espada siempre ataca desde tu dirección; no recibe bonificación por flanquear ni ayuda a flanquear.
Magic Aura	Aura mágica	Alteras el aura de un objeto para que detect spells y efectos similares lo registren como si fuera no mágico, como un objeto mágico del tipo que especifiques o como el objeto de un conjuro que indiques. Si el objeto con magic aura es examinado con identify o un método similar, el examinador reconoce que el aura es falsa y detecta las cualidades reales del objeto si supera una salvación de Voluntad. En caso contrario, creerá el aura y ninguna prueba revelará cuál es la verdadera magia. Si el aura propia del objeto objetivo es excepcionalmente poderosa, como ocurre con un artefacto, magic aura no funciona.
Magic Circle against Evil	Círculo mágico contra el mal	Todas las criaturas dentro del área obtienen los efectos de un conjuro protection from evil, y las criaturas convocadas malignas tampoco pueden entrar en el área. Las criaturas que están en el área, o que entran después, solo reciben un intento de suprimir los efectos que las controlan. Si lo logran, esos efectos quedan suprimidos mientras permanezcan dentro del área. Las criaturas que salen y vuelven a entrar no están protegidas. Debes superar la resistencia a conjuros de una criatura para mantenerla a raya, pero las bonificaciones de desvío y resistencia y la protección contra el control mental se aplican aunque los enemigos tengan resistencia a conjuros. Este conjuro tiene una versión alternativa.
Magic Circle against Chaos	Círculo mágico contra el caos	Este conjuro funciona como magic circle against evil, salvo que es similar a protection from chaos en lugar de protection from evil, y puede aprisionar a una criatura convocada no legal.
Magic Circle against Good	Círculo mágico contra el bien	Este conjuro funciona como magic circle against evil, salvo que es similar a protection from good en lugar de protection from evil, y puede aprisionar a una criatura convocada no maligna.
Magic Circle against Law	Círculo mágico contra la ley	Este conjuro funciona como magic circle against evil, salvo que es similar a protection from law en lugar de protection from evil, y puede aprisionar a una criatura convocada no caótica.
Magic Fang	Colmillo mágico	Magic fang concede a un arma natural o a un golpe desarmado del sujeto una bonificación de mejora de +1 a las tiradas de ataque y daño. El conjuro puede afectar a un ataque de aplastamiento, puño, mordisco o cualquier otro arma natural. No convierte el daño de un golpe desarmado de no letal en letal. Magic fang puede hacerse permanente con un conjuro permanency.
Magic Fang, Greater	Colmillo mágico mayor	Este conjuro funciona como magic fang, salvo que la bonificación de mejora a las tiradas de ataque y daño es de +1 por cada cuatro niveles de lanzador, hasta un máximo de +5. Esta bonificación no permite que un arma natural o un golpe desarmado ignore la reducción de daño salvo la de magia. Alternativamente, puedes imbuir todas las armas naturales de la criatura con una bonificación de mejora de +1, con independencia de tu nivel de lanzador. Greater magic fang puede hacerse permanente con permanency.
Magic Jar	Jarra mágica	Con magic jar, colocas tu alma en una gema o un gran cristal, la jarra mágica, dejando tu cuerpo sin vida. Después puedes intentar tomar el control de un cuerpo cercano, forzando su alma a entrar en la jarra. Puedes volver a la jarra, devolviendo así el alma atrapada a su cuerpo, e intentar poseer otro cuerpo. El conjuro termina cuando devuelves tu alma a tu propio cuerpo y el receptáculo queda vacío. Para lanzar el conjuro, la jarra debe estar dentro del alcance y debes saber dónde se encuentra, aunque no necesitas línea de visión ni de efecto. Mientras tu alma está en la jarra, tu cuerpo parece muerto.
Magic Missile	Proyectil mágico	Un proyectil de energía mágica sale disparado de tu dedo y golpea su objetivo, infligiendo 1d4+1 puntos de daño de fuerza. El proyectil impacta con total certeza, incluso si el objetivo está en combate cuerpo a cuerpo, siempre que no tenga cobertura total ni ocultación total. No pueden elegirse partes concretas de una criatura. El conjuro no daña objetos. Por cada dos niveles de lanzador por encima de 1.º, obtienes un proyectil adicional: dos a 3.º, tres a 5.º, cuatro a 7.º y el máximo de cinco a 9.º o más. Si lanzas varios proyectiles, puedes hacer que impacten a una sola criatura o a varias. Un solo proyectil solo puede golpear a una criatura.
Magic Mouth	Boca mágica	Este conjuro imbuye al objeto o criatura elegidos con una boca encantada que aparece de repente y pronuncia su mensaje la próxima vez que ocurra un evento especificado. El mensaje, que no puede superar 25 palabras, puede estar en cualquier idioma que conozcas y puede transmitirse durante un período de 10 minutos. La boca no puede pronunciar componentes verbales, usar palabras de activación ni activar efectos mágicos. Eso sí, se mueve según las palabras pronunciadas; si se colocara sobre una estatua, la boca de la estatua se movería y parecería hablar. Magic mouth también puede colocarse sobre un árbol, una roca o cualquier otro objeto o criatura.
Magic Stone	Piedra mágica	Transmutas hasta tres guijarros, que no pueden ser más grandes que un perdigón de honda, para que golpeen con gran fuerza cuando se arrojan o se usan con honda. Si se lanzan, tienen un incremento de distancia de 20 pies. Si se usan con honda, trátalos como perdigones de honda, con un incremento de distancia de 50 pies. El conjuro les concede una bonificación de mejora de +1 a las tiradas de ataque y daño. Quien use las piedras realiza un ataque a distancia normal. Cada piedra que impacta inflige 1d6+1 puntos de daño, o 2d6+2 contra muertos vivientes.
Magic Vestment	Vestidura mágica	Imbuyes una armadura o un escudo con una bonificación de mejora de +1 por cada cuatro niveles de lanzador, hasta un máximo de +5 en nivel 20. Un conjunto de ropa normal cuenta como armadura que no concede bonificación de CA a efectos de este conjuro.
Magic Weapon	Arma mágica	Magic weapon concede a un arma una bonificación de mejora de +1 a las tiradas de ataque y daño. Esta bonificación no se acumula con el +1 al ataque de un arma de calidad excelente. No puedes lanzar este conjuro sobre un arma natural, como un golpe desarmado; para eso usa magic fang. El golpe desarmado de un monje se considera un arma y, por tanto, puede ser mejorado por este conjuro.
Magic Weapon, Greater	Arma mágica mayor	Este conjuro funciona como magic weapon, salvo que otorga a un arma una bonificación de mejora de +1 a las tiradas de ataque y daño por cada cuatro niveles de lanzador, hasta un máximo de +5. Esta bonificación no permite al arma ignorar reducción de daño salvo la de magia. Alternativamente, puedes afectar hasta 50 flechas, virotes o balas. Los proyectiles deben ser del mismo tipo y estar juntos, en el mismo carcaj o contenedor. Los proyectiles, pero no las armas arrojadizas, pierden la transmutación después de usarse. Los shuriken cuentan como proyectiles.
Minor Creation	Creación menor	Creas un objeto no mágico y desatendido de materia vegetal inerte. El volumen del objeto creado no puede superar 1 pie cúbico por nivel de lanzador. Debes superar una prueba apropiada de la habilidad de Artesanía para fabricar un objeto complejo. Si intentas usar cualquier objeto creado como componente material, el conjuro falla.
Major Creation	Creación mayor	Este conjuro funciona como minor creation, salvo que también puedes crear un objeto de naturaleza mineral: piedra, cristal, metal o similar. La duración del objeto creado varía según su dureza y rareza relativas, como indica la tabla del conjuro: materia vegetal, 2 horas/nivel; piedra, cristal y metales básicos, 1 hora/nivel; metales preciosos, 20 minutos/nivel; gemas, 10 minutos/nivel; metal raro, 1 asalto/nivel. El metal raro incluye adamantina, plata alquímica y mitral. No puedes usar major creation para crear un objeto de hierro frío.
Major Image	Imagen mayor	Este conjuro funciona como silent image, salvo que el efecto incluye sonido, olor e ilusiones térmicas. Mientras te concentras, puedes mover la imagen dentro del alcance. La imagen desaparece cuando la golpea un adversario, salvo que hagas que la ilusión reaccione de manera apropiada.
Make Whole	Restaurar	Este conjuro funciona como mending, salvo que repara 1d6 puntos de daño por nivel cuando se lanza sobre un objeto o una criatura constructo, hasta un máximo de 5d6. Make whole puede reparar objetos mágicos destruidos (a 0 pg o menos) y restaura las propiedades mágicas del objeto si tu nivel de lanzador es al menos el doble que el del objeto. Los objetos con cargas, como las varitas, y los objetos de un solo uso, como pociones y pergaminos, no pueden repararse así. Cuando se usa sobre una criatura constructo, el conjuro ignora cualquier inmunidad a la magia como si el conjuro no permitiera resistencia a conjuros.
Mark of Justice	Marca de justicia	Marcas al sujeto y declaras un comportamiento concreto por su parte que activará la marca. Cuando se activa, la marca maldice al sujeto. Normalmente designas algún comportamiento indeseable que activa la marca, pero puedes elegir cualquier acto que desees. El efecto de la marca es idéntico al de bestow curse. Como este conjuro tarda 10 minutos en lanzarse e implica escribir sobre el objetivo, solo puedes lanzarlo sobre una criatura voluntaria o inmovilizada. Como bestow curse, una marca de justicia no puede disiparse, pero sí puede eliminarse con break enchantment, limited wish, miracle, remove curse o wish.
Maze	Laberinto	Destierras al sujeto a un laberinto extradimensional. En cada asalto, en su turno, puede intentar una prueba de Inteligencia CD 20 como acción de asalto completo para escapar del laberinto. Si no escapa, el laberinto desaparece tras 10 minutos y lo libera. Al escapar o abandonar el laberinto, el sujeto reaparece donde estaba cuando se lanzó el conjuro. Si ese lugar está ocupado por un objeto sólido, aparece en el espacio abierto más cercano. Los conjuros y habilidades que mueven a una criatura dentro de un plano, como teleport y dimension door, no ayudan a escapar de maze, aunque plane shift le permite salir al plano que se designe.
Meld into Stone	Fundirse con la piedra	Meld into stone te permite fusionar tu cuerpo y tus pertenencias con un único bloque de piedra. La piedra debe ser lo bastante grande para acomodar tu cuerpo en las tres dimensiones. Cuando se completa el lanzamiento, tú y no más de 100 libras de equipo no vivo os fusionáis con la piedra. Si se viola cualquiera de estas condiciones, el conjuro falla y se desperdicia. Mientras estás en la piedra, sigues en contacto, aunque sea tenue, con la cara de la piedra por la que entraste. Sigues consciente del paso del tiempo y puedes lanzarte conjuros a ti mismo mientras te ocultas en la piedra. No puedes ver lo que ocurre fuera, pero sigues oyendo lo que pasa alrededor.
Mending	Reparar	Este conjuro repara objetos dañados y restaura 1d4 puntos de golpe al objeto. Si el objeto tiene la condición de roto, esta condición se elimina si el objeto se restaura a al menos la mitad de sus pg originales. Todas las piezas del objeto deben estar presentes para que el conjuro funcione. Los objetos mágicos pueden repararse con este conjuro, pero debes tener un nivel de lanzador igual o superior al del objeto. Los objetos mágicos destruidos (a 0 pg o menos) pueden repararse con este conjuro, pero éste no restaura sus capacidades mágicas. No afecta a criaturas, incluidos los constructos. No tiene efecto sobre objetos deformados o transmutados.
Message	Mensaje	Puedes susurrar mensajes y recibir respuestas susurradas. Quienes estén cerca pueden oír estos mensajes con una prueba de Percepción CD 25. Apuntas con el dedo a cada criatura que quieras que reciba el mensaje. Cuando susurras, el mensaje se oye en todas las criaturas objetivo dentro del alcance. El silencio mágico, 1 pie de piedra, 1 pulgada de metal común (o una fina lámina de plomo) o 3 pies de madera o tierra bloquean el conjuro. El mensaje no tiene que viajar en línea recta. Puede rodear una barrera si existe un camino abierto entre tú y el sujeto, y toda la longitud del camino queda dentro del alcance del conjuro. Las criaturas que reciben el mensaje pueden susurrar una respuesta que tú escuchas.
Meteor Swarm	Lluvia de meteoros	Lluvia de meteoros es un conjuro muy poderoso y espectacular, similar a fireball en muchos aspectos. Al lanzarlo, cuatro esferas de 2 pies de diámetro salen de tu mano extendida y se desplazan en líneas rectas hasta los puntos que elijas, dejando un rastro de chispas. Si apuntas una esfera a una criatura concreta, puedes hacer un ataque de toque a distancia para impactarla. Cualquier criatura golpeada por una esfera sufre 2d6 puntos de daño contundente y recibe una penalización de -4 a la tirada de salvación contra el daño de fuego de esa esfera. Si una esfera dirigida falla, explota en la esquina más cercana del espacio del objetivo.
Mind Blank	Mente en blanco	El sujeto queda protegido frente a todos los dispositivos y conjuros que recaben información sobre el objetivo mediante magia de adivinación, como detect evil, locate creature, scry o see invisible. Además, obtiene una bonificación de resistencia de +8 a las salvaciones contra todos los conjuros y efectos que afectan a la mente. Mind blank incluso frustra limited wish, miracle y wish cuando se usan para obtener información sobre el objetivo. Si una scrying escanea un área en la que está la criatura, como arcane eye, el conjuro funciona pero la criatura simplemente no es detectada. Los intentos de scrying dirigidos específicamente al sujeto no funcionan en absoluto.
